Date,^GSPC,^FTSE,^N225,EEM,GC=F,^TNX
2010-01-04,1132.989990234375,5500.2998046875,10654.7900390625,30.78584861755371,1117.699951171875,3.8410000801086426
2010-01-05,1136.52001953125,5522.5,10681.830078125,31.009307861328125,1118.0999755859375,3.755000114440918
2010-01-06,1137.1400146484375,5530.0,10731.4501953125,31.074180603027344,1135.9000244140625,3.808000087738037
2010-01-07,1141.68994140625,5526.7001953125,10681.66015625,30.893978118896484,1133.0999755859375,3.822000026702881
2010-01-08,1144.97998046875,5534.2001953125,10798.3203125,31.13905143737793,1138.199951171875,3.808000087738037
2010-01-11,1146.97998046875,5538.10009765625,,31.074180603027344,1150.699951171875,3.818000078201294
2010-01-12,1136.219970703125,5498.7001953125,10879.1396484375,30.576831817626953,1128.9000244140625,3.7190001010894775
2010-01-13,1145.6800537109375,5473.5,10735.0302734375,30.6705265045166,1136.4000244140625,3.7829999923706055
2010-01-14,1148.4599609375,5498.2001953125,10907.6796875,30.591243743896484,1142.5999755859375,3.7339999675750732
2010-01-15,1136.030029296875,5455.39990234375,10982.099609375,30.238035202026367,1130.0999755859375,3.6760001182556152
2010-01-18,,5494.39990234375,10855.080078125,,,
2010-01-19,1150.22998046875,5513.10009765625,10764.900390625,30.850725173950195,1139.699951171875,3.7070000171661377
2010-01-20,1138.0400390625,5420.7998046875,10737.51953125,30.108299255371094,1112.300048828125,3.6589999198913574
2010-01-21,1116.47998046875,5335.10009765625,10868.41015625,29.200077056884766,1102.699951171875,3.6110000610351562
2010-01-22,1091.760009765625,5303.0,10590.5498046875,28.55133819580078,1089.199951171875,3.5980000495910645
2010-01-25,1096.780029296875,5260.2998046875,10512.6904296875,28.7603759765625,1095.199951171875,3.630000114440918
2010-01-26,1092.1700439453125,5276.89990234375,10325.2802734375,28.162105560302734,1097.9000244140625,3.630000114440918
2010-01-27,1097.5,5217.5,10252.080078125,28.09003257751465,1084.4000244140625,3.6440000534057617
2010-01-28,1084.530029296875,5145.7001953125,10414.2900390625,27.89539909362793,1083.5999755859375,3.6579999923706055
2010-01-29,1073.8699951171875,5188.5,10198.0400390625,27.592660903930664,1083.0,3.6089999675750732
2010-02-01,1089.18994140625,5247.39990234375,10205.01953125,28.33510398864746,1104.300048828125,3.6540000438690186
2010-02-02,1103.3199462890625,5283.2998046875,10371.08984375,28.565757751464844,1117.4000244140625,3.634999990463257
2010-02-03,1097.280029296875,5253.2001953125,10404.330078125,28.39997100830078,1111.4000244140625,3.703000068664551
2010-02-04,1063.1099853515625,5139.2998046875,10355.98046875,27.116918563842773,1062.4000244140625,3.609999895095825
2010-02-05,1066.18994140625,5060.89990234375,10057.08984375,26.81418228149414,1052.199951171875,3.5460000038146973
2010-02-08,1056.739990234375,5092.2998046875,9951.8203125,26.547481536865234,1065.699951171875,3.5920000076293945
2010-02-09,1070.52001953125,5111.7998046875,9932.900390625,27.412460327148438,1076.699951171875,3.632999897003174
2010-02-10,1068.1300048828125,5132.0,9963.990234375,27.34037971496582,1075.800048828125,3.694000005722046
2010-02-11,1078.469970703125,5161.5,,28.061195373535156,1094.199951171875,3.7330000400543213
2010-02-12,1075.510009765625,5142.5,10092.1904296875,27.70799446105957,1089.5,3.693000078201294
2010-02-15,,5167.5,10013.2998046875,,,
2010-02-16,1094.8699951171875,5244.10009765625,10034.25,28.421594619750977,1119.300048828125,3.6640000343322754
2010-02-17,1099.510009765625,5276.60009765625,10306.830078125,28.522510528564453,1119.5,3.742000102996826
2010-02-18,1106.75,5325.10009765625,10335.6904296875,28.630630493164062,1118.0,3.802999973297119
2010-02-19,1109.1700439453125,5358.2001953125,10123.580078125,28.385557174682617,1121.300048828125,3.7820000648498535
2010-02-22,1108.010009765625,5352.10009765625,10400.4697265625,28.421594619750977,1112.5999755859375,3.7990000247955322
2010-02-23,1094.5999755859375,5315.10009765625,10352.099609375,27.765663146972656,1102.699951171875,3.690999984741211
2010-02-24,1105.239990234375,5342.89990234375,10198.830078125,28.032360076904297,1096.5,3.694999933242798
2010-02-25,1102.93994140625,5278.2001953125,10101.9599609375,27.80170249938965,1107.800048828125,3.6419999599456787
2010-02-26,1104.489990234375,5354.5,10126.0302734375,28.08281707763672,1118.300048828125,3.5950000286102295
2010-03-01,1115.7099609375,5405.89990234375,10172.0595703125,28.55854606628418,1117.800048828125,3.6059999465942383
2010-03-02,1118.31005859375,5484.10009765625,10221.83984375,28.882923126220703,1136.9000244140625,3.614000082015991
2010-03-03,1118.7900390625,5533.2001953125,10253.1396484375,28.91895294189453,1142.699951171875,3.625
2010-03-04,1122.969970703125,5527.2001953125,10145.7197265625,28.767574310302734,1132.5999755859375,3.6059999465942383
2010-03-05,1138.699951171875,5599.7998046875,10368.9599609375,29.517221450805664,1134.800048828125,3.681999921798706
2010-03-08,1138.5,5606.7001953125,10585.919921875,29.53885841369629,1123.5999755859375,3.7079999446868896
2010-03-09,1140.449951171875,5602.2998046875,10567.650390625,29.704635620117188,1122.0,3.7009999752044678
2010-03-10,1145.6099853515625,5640.60009765625,10563.919921875,29.91367530822754,1107.800048828125,3.7200000286102295
2010-03-11,1150.239990234375,5617.2998046875,10664.9501953125,29.920883178710938,1108.0,3.7200000286102295
2010-03-12,1149.989990234375,5625.7001953125,10751.259765625,29.819971084594727,1101.5,3.7100000381469727
2010-03-15,1150.510009765625,5593.89990234375,10751.98046875,29.603729248046875,1105.0999755859375,3.7039999961853027
2010-03-16,1159.4599609375,5620.39990234375,10721.7099609375,29.985750198364258,1122.199951171875,3.6530001163482666
